
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
   77756.389 RX    72 FF 21 86
   77776.799 RX    25 00 80 01
   77797.386 RX    00 00 00
   77807.560 RX    1D 81 24 00 0E
   77827.906 RX    00 43 07 A6 10
   77838.090 RX    00 00
   77838.133 TX    7D
   77858.731 RX    7D 7D 21 40
   77869.051 RX    0A FF 91 00
   77890.176 RX    43 FF FF 01
   77900.564 RX    00 89 64 00
   77921.701 RX    04 1E FF 00
   77932.335 RX    30 80 80 1E 00
   77953.542 RX    26 00 26 00 26 00 26
   77964.161 RX    00 00 00
   77964.251 TX    80
   77985.660 RX    80 80 1C 03 82
   77995.871 RX    88 72 72 FF
   78016.405 RX    21 86 25 00
   78036.734 RX    80 01 00 00
   78046.938 RX    00 1D 81 24
   78067.303 RX    00 18 00 42 07
   78077.481 RX    AE 10 00 00
   78077.533 TX    7D
   78097.835 RX    7D 7D 21 40
   78108.131 RX    0A FF 91 00
   78128.492 RX    42 FF FF 01
   78148.992 RX    00 89 64 00
   78159.516 RX    04 1E FF 00
   78179.891 RX    30 80 80 08
   78190.076 RX    00 26 00 26 00 26 00
   78210.557 RX    26 00 00 00
   78210.608 TX    80
   78220.779 RX    80 80
   78241.138 RX    1C 03 82 88 72
   78261.488 RX    72 FF 20 86
   78271.660 RX    25 00 80 01
   78291.994 RX    00 00 00 1D
   78302.183 RX    81 24 00 0B
   78322.568 RX    00 44 07 AF 10
   78332.745 RX    00 00
   78332.804 TX    7D
   78353.171 RX    7D 7D 21 40
   78363.470 RX    0A FF 91 00
   78383.804 RX    41 FF FF 01
   78404.501 RX    00 89 64 00
   78415.040 RX    04 1E FF 00
   78436.369 RX    30 80 80 04
   78447.015 RX    00 26 00 26 00 26 00
   78467.961 RX    26 00 00 00
   78468.067 TX    80
   78478.774 RX    80 80
   78500.091 RX    1C 03 64 89 72
   78510.314 RX    72 FF 22 86
   78530.712 RX    25 00 80 01
   78540.893 RX    00 00 00 1D
   78561.303 RX    81 24 00 1A 00
   78571.489 RX    4A 07 B7 10
   78591.845 RX    00 00
   78591.904 TX    7D
   78612.449 RX    7D 7D 21
   78622.639 RX    40 0A FF 91
   78642.978 RX    00 40 FF FF
   78653.297 RX    01 00 89 64
   78673.729 RX    00 04 1E FF
   78684.017 RX    00 30 80 7F
   78704.506 RX    F5 00 26 00 26 00 26
   78724.930 RX    00 26 00 00 00
   78724.990 TX    80
   78735.184 RX    80 80
   78755.546 RX    1C 03 4B 8A 72
   78765.733 RX    72 FF 22 86
   78786.214 RX    25 00 80 01
   78796.445 RX    00 00 00 1D
   78816.803 RX    81 24 00 0B 00
   78837.159 RX    44 07 AF 10
   78847.320 RX    00 00
   78847.364 TX    7D
   78867.680 RX    7D 7D 21
   78878.202 RX    40 0A FF 91
   78899.332 RX    00 40 FF FF
   78909.725 RX    01 00 89 64
   78930.879 RX    00 04 1E FF
   78941.329 RX    00 30 80 80
   78962.362 RX    13 00 26 00 26 00
   78972.781 RX    26 00 26 00 00 00
   78972.882 TX    80
   78993.736 RX    80 80 1C
   79003.961 RX    03 86 8A 72 72
   79024.552 RX    FF 22 86 25
   79044.909 RX    00 80 01 00
   79055.127 RX    00 00 1D 81
   79075.506 RX    24 00 1E 00 41
   79085.744 RX    07 B0 10 00 00
   79085.804 TX    7D
   79106.242 RX    7D 7D 21
   79116.628 RX    40 0A FF 91
   79137.000 RX    00 3F FF FF
   79147.202 RX    01 00 89 64
   79167.523 RX    00 04 1E FF
   79187.890 RX    00 30 80 80 2B
   79198.085 RX    00 26 00 26 00 26 00
   79218.438 RX    26 00 00 00
   79218.489 TX    80
   79228.668 RX    80 80
   79249.010 RX    1C 03 79 8A 72
   79259.188 RX    72 FF 22 86
   79279.559 RX    25 00 80 01
   79299.919 RX    00 00 00 1D
   79310.101 RX    81 24 00 0E 00
   79330.519 RX    43 07 A9 10 00
   79340.774 RX    00
   79340.821 TX    7D
   79361.129 RX    7D 7D 21
   79371.315 RX    40 0A FF 91
   79391.696 RX    00 3E FF FF
   79412.086 RX    01 00 89 64
   79422.704 RX    00 04 1E FF
   79443.854 RX    00 30 80 80
   79454.382 RX    16 00 26 00 26 00 26
   79475.514 RX    00 26 00 00 00
   79475.624 TX    80
   79485.991 RX    80 80
   79507.417 RX    1C 03 81 8A 72
   79517.595 RX    72 FF 21 86
   79537.931 RX    25 00 80 01
   79548.111 RX    00 00 00 1D
   79568.459 RX    81 24 00 08 00
   79588.794 RX    44 07 AD 10 00
   79598.968 RX    00
   79599.017 TX    7D
   79619.309 RX    7D 7D 21
   79629.567 RX    40 0A FF 91
   79649.925 RX    00 3E FF FF
   79660.114 RX    01 00 89 64
   79680.479 RX    00 04 1E FF
   79700.823 RX    00 30 80 80
   79710.998 RX    0B 00 26 00 26 00 26
   79731.304 RX    00 26 00 00 00
   79731.351 TX    80
   79741.510 RX    80 80
   79761.858 RX    1C 03 78 8A 72
   79772.058 RX    72 FF 21 86
   79792.409 RX    25 00 80 01
   79812.747 RX    00 00 00 1D
   79822.922 RX    81 24 00 0A 00
   79843.266 RX    44 07 A3 10
   79853.454 RX    00 00
   79853.496 TX    7D
   79873.809 RX    7D 7D 21
   79884.004 RX    40 0A FF 91
   79904.512 RX    00 3D FF FF
   79924.878 RX    01 00 89 64
   79935.450 RX    00 04 1E FF
   79956.483 RX    00 30 80 7F FB
   79967.047 RX    00 26 00 26 00 26
   79988.213 RX    00 26 00 00 00
   79988.341 TX    80
   79998.749 RX    80 80
   80019.256 RX    1C 03 6C 8A 72
   80029.800 RX    72 FF 22 86
   80050.315 RX    25 00 80 01
   80060.511 RX    00 00 00 1D
   80080.888 RX    81 24 00 0C 00
   80091.070 RX    43 07 AE 10
   80111.566 RX    00 00
   80111.616 TX    7D
   80131.930 RX    7D 7D 21
   80142.113 RX    40 0A FF 91
   80162.468 RX    00 3C FF
   80172.653 RX    FF 01 00 89
   80193.016 RX    64 00 04 1E
   80203.205 RX    FF 00 30 80
   80223.571 RX    80 0A 00 26 00 26 00
   80244.003 RX    26 00 26 00 00 00
   80244.052 TX    80
   80254.228 RX    80 80
   80274.584 RX    1C 03 74 8A
   80284.768 RX    72 72 FF 22
   80305.112 RX    86 25 00 80
   80315.310 RX    01 00 00 00
   80335.793 RX    1D 81 24 00 12
   80356.298 RX    00 44 07 AE 10
   80366.829 RX    00 00
   80366.916 TX    7D
   80388.121 RX    7D 7D 21 40
   80399.123 RX    0A FF 91
   80420.213 RX    00 3C FF FF
   80430.913 RX    01 00 89 64
   80452.167 RX    00 04 1E FF
   80462.782 RX    00 30 80 80 28
   80484.025 RX    00 26 00 26 00 26 00
   80494.486 RX    26 00 00 00
   80494.566 TX    80
   80515.036 RX    80 80 1C
   80525.323 RX    03 9A 8A 72 72 FF
   80545.842 RX    21 86 25 00
   80556.030 RX    80 01 00 00
   80576.390 RX    00 1D 81
   80596.744 RX    24 00 13 00 43
   80606.921 RX    07 A8 10 00 00
   80606.968 TX    7D
   80627.309 RX    7D 7D 21
   80637.530 RX    40 0A FF 91
   80657.869 RX    00 3C FF FF
   80668.044 RX    01 00 89 64
   80688.379 RX    00 04 1E FF
   80708.712 RX    00 30 80 80 25
   80718.890 RX    00 26 00 26 00 26 00
   80739.458 RX    26 00 00 00
   80739.510 TX    80
   80749.822 RX    80 80
   80770.265 RX    1C 03 8F 8A 72
   80780.454 RX    72 FF 20 86
   80800.957 RX    25 00 80 01
   80811.300 RX    00 00 00 1D
   80831.672 RX    81 24 00 16 00
   80852.063 RX    42 07 B0 10 00
   80862.267 RX    00
   80862.325 TX    7D
   80883.013 RX    7D 7D 21
   80893.495 RX    40 0A FF 91
   80914.406 RX    00 3B FF FF
   80924.699 RX    01 00 89 64
   80945.457 RX    00 04 1E FF
   80956.054 RX    00 30 80 80 23
   80977.348 RX    00 26 00 26 00 26 00
   80987.967 RX    26 00 00 00
   80988.067 TX    80
   81009.413 RX    80 80 1C 03
   81019.668 RX    87 8A 72 72 FF
   81040.038 RX    21 86 25 00
   81060.495 RX    80 01 00 00
   81070.692 RX    00 1D 81 24
   81091.140 RX    00 1D 00 41 07 B0
   81101.428 RX    10 00 00
   81101.477 TX    7D
   81121.795 RX    7D 7D 21 40
   81131.998 RX    0A FF 91 00
   81152.337 RX    3B FF FF 01
   81172.727 RX    00 89 64 00
   81182.918 RX    04 1E FF 00
   81203.316 RX    30 80 80 1F 00
   81213.522 RX    26 00 26 00 26 00 26 00
   81233.862 RX    00 00
   81233.937 TX    80
   81244.118 RX    80 80 1C
   81264.470 RX    03 66 8A 72
   81274.634 RX    72 FF 22 86
   81294.978 RX    25 00 80 01
   81315.506 RX    00 00 00 1D
   81325.672 RX    81 24 00 0B 00
   81346.008 RX    44 07 A0 10 00
   81356.185 RX    00
   81356.229 TX    7D
   81376.612 RX    7D 7D 21 40
   81386.895 RX    0A FF 91 00
   81407.363 RX    3A FF FF
   81428.155 RX    01 00 89 64
   81438.462 RX    00 04 1E FF
   81459.513 RX    00 30 80 80 18
   81470.145 RX    00 26 00 26 00 26
   81491.309 RX    00 26 00 00 00
   81491.427 TX    80
   81501.793 RX    80 80
   81523.454 RX    1C 03 86 8A 72
   81533.659 RX    72 FF 22 86
   81554.153 RX    25 00 80 01
   81564.514 RX    00 00 00 1D
   81584.847 RX    81 24 00 22 00
   81595.122 RX    40 07 A4 10 00
   81615.728 RX    00
   81615.784 TX    7D
   81636.109 RX    7D 7D 21
   81646.434 RX    40 0A FF 91
   81666.967 RX    00 39 FF
   81677.165 RX    FF 01 00 89
   81697.488 RX    64 00 04 1E
   81707.661 RX    FF 00 30 80
   81728.018 RX    80 1A 00 26 00 26 00
   81748.642 RX    26 00 26 00 00 00
   81748.691 TX    80
   81758.847 RX    80 80
   81779.219 RX    1C 03 7C 8A 72
   81789.380 RX    72 FF 21 86
   81809.724 RX    25 00 80 01
   81819.916 RX    00 00 00 1D
   81840.266 RX    81 24 00 0B
   81850.480 RX    00 44 07 AB 10
   81870.854 RX    00 00
   81870.906 TX    7D
   81891.237 RX    7D 7D 21
   81901.437 RX    40 0A FF 91
   81921.833 RX    00 39 FF FF
   81932.150 RX    01 00 89 64
   81952.765 RX    00 04 1E
   81963.400 RX    FF 00 30 80
   81984.349 RX    7F FC 00 26 00 26 00
   81995.170 RX    26 00 26 00 00 00
   81995.261 TX    80
   82015.951 RX    80 80 1C 03 64
   82036.452 RX    8A 72 72 FF
   82046.645 RX    21 86 25 00
   82067.001 RX    80 01 00 00
   82077.194 RX    00 1D 81
   82097.554 RX    24 00 06 00 44
   82107.729 RX    07 A2 10 00 00
   82107.778 TX    7D
   82128.256 RX    7D 7D 21 40
   82138.535 RX    0A FF 91 00
   82158.893 RX    38 FF FF 01
   82179.297 RX    00 89 64 00
   82189.506 RX    04 1E FF 00
   82209.874 RX    30 80 80 0E
   82220.229 RX    00 26 00 26 00 26 00
   82240.770 RX    26 00 00 00
   82240.821 TX    80
   82250.989 RX    80 80 1C
   82271.315 RX    03 7D 8A 72 72
   82291.656 RX    FF 22 86 25
   82301.833 RX    00 80 01 00
   82322.171 RX    00 00 1D
   82332.309 RX    81 24 00 14 00
   82352.771 RX    43 07 A8 10 00
   82363.086 RX    00
   82363.129 TX    7D
   82383.487 RX    7D 7D 21 40
   82403.840 RX    0A FF 91 00
   82414.117 RX    38 FF FF 01
   82434.519 RX    00 89 64 00
   82445.061 RX    04 1E FF 00
   82466.382 RX    30 80 80 2B 00
   82476.964 RX    26 00 26 00 26 00 26 00
   82498.257 RX    00 00
   82498.530 TX    80
   82509.361 RX    80 80
   82530.217 RX    1C 03 93 8A 72
   82540.581 RX    72 FF 22 86
   82561.033 RX    25 00 80 01 00
   82571.326 RX    00 00 1D
   82591.704 RX    81 24 00 1D 00
   82612.096 RX    41 07 B4 10 00
   82622.444 RX    00
   82622.506 TX    7D
   82643.012 RX    7D 7D 21
   82653.253 RX    40 0A FF 91
   82673.808 RX    00 37 FF FF
   82684.115 RX    01 00 89 64
   82704.488 RX    00 04 1E FF
   82714.677 RX    00 30 80 80 29
   82735.029 RX    00 26 00 26 00 26 00
   82755.930 RX    26 00 00 00
   82755.981 TX    80
   82766.135 RX    80 80
   82786.407 RX    1C 03 8E 8A
   82796.606 RX    72 72 FF 22 86
   82817.187 RX    25 00 80 01
   82827.379 RX    00 00 00 1D
   82847.752 RX    81 24 00 17
   82868.297 RX    00 43 07 A0 10
   82878.536 RX    00 00
   82878.582 TX    7D
   82899.256 RX    7D 7D 21
   82909.917 RX    40 0A FF 91
   82931.026 RX    00 37 FF FF
   82941.454 RX    01 00 89 64
   82962.859 RX    00 04 1E FF
   82973.256 RX    00 30 80 80
   82994.210 RX    20 00 26 00 26 00 26
   83004.745 RX    00 26 00 00 00
   83004.855 TX    80
   83025.543 RX    80 80 1C
   83036.031 RX    03 80 8A 72 72
   83056.516 RX    FF 21 86 25
   83066.736 RX    00 80 01 00
   83087.112 RX    00 00 1D 81
   83107.593 RX    24 00 19 00 42
   83117.945 RX    07 AE 10 00 00
   83117.998 TX    7D
   83138.519 RX    7D 7D 21
   83148.715 RX    40 0A FF 91
   83169.065 RX    00 36 FF FF
   83179.291 RX    01 00 89 64
   83199.800 RX    00 04 1E FF 00
   83220.179 RX    30 80 80 2E
   83230.373 RX    00 26 00 26 00 26 00 26
   83250.812 RX    00 00 00
   83250.860 TX    80
   83261.044 RX    80 80
   83281.391 RX    1C 03 8C 8A 72
   83291.593 RX    72 FF 20 86
   83311.968 RX    25 00 80 01
   83322.229 RX    00 00 00 1D
   83342.572 RX    81 24 00 13 00
   83362.909 RX    43 07 C1 10
   83373.139 RX    00 00
   83373.209 TX    7D
   83393.669 RX    7D 7D 21
   83403.969 RX    40 0A FF 91
   83424.597 RX    00 36 FF FF
   83435.326 RX    01 00 89 64
   83455.755 RX    00 04 1E FF
   83476.106 RX    00 30 80 80
   83486.316 RX    13 00 26 00 26 00 26
   83506.698 RX    00 26 00 00 00
   83506.746 TX    80
   83516.923 RX    80 80 1C
   83537.973 RX    03 7F 8A 72
   83548.208 RX    72 FF 20 86
   83568.588 RX    25 00 80 01
   83578.774 RX    00 00 00 1D
   83599.251 RX    81 24 00 20 00
   83619.702 RX    40 07 A2 10 00
   83629.914 RX    00
   83629.964 TX    7D
   83650.427 RX    7D 7D 21
   83660.616 RX    40 0A FF 91
   83681.016 RX    00 36 FF FF
   83691.227 RX    01 00 89 64
   83711.606 RX    00 04 1E FF
   83732.068 RX    00 30 80
   83742.365 RX    80 10 00 26 00 26 00
   83762.734 RX    26 00 26 00 00 00
   83762.781 TX    80
   83772.972 RX    80 80
   83793.467 RX    1C 03 66 8A 72
   83803.666 RX    72 FF 22
   83824.043 RX    86 25 00 80
   83834.255 RX    01 00 00 00
   83854.618 RX    1D 81 24 00 01
   83874.984 RX    00 44 07 AF 10
   83885.182 RX    00 00
   83885.225 TX    7D
   83905.698 RX    7D 7D 21 40
   83915.888 RX    0A FF 91
   83936.472 RX    00 36 FF FF
   83946.718 RX    01 00 89 64
   83967.531 RX    00 04 1E FF
   83978.157 RX    00 30 80 7F
   83999.133 RX    F5 00 26 00 26 00
   84020.063 RX    26 00 26 00 00 00
   84020.155 TX    80
   84030.501 RX    80 80
   84050.849 RX    1C 03 64 8A 72
   84061.146 RX    72 FF 22 86
   84081.608 RX    25 00 80
   84091.836 RX    01 00 00 00
   84112.319 RX    1D 81 24 00 11
   84122.501 RX    00 43 07 A0 10
   84142.839 RX    00 00
   84142.893 TX    7D
   84163.318 RX    7D 7D 21
   84173.497 RX    40 0A FF 91
   84193.846 RX    00 35 FF
   84204.058 RX    FF 01 00 89
   84224.378 RX    64 00 04 1E
   84234.549 RX    FF 00 30 80
   84254.885 RX    80 02 00 26 00 26
   84275.312 RX    00 26 00 26 00 00 00
   84275.359 TX    80
   84285.518 RX    80 80
   84305.874 RX    1C 03 7B 8A 72
   84316.058 RX    72 FF 21 86
   84336.408 RX    25 00 80 01
   84346.592 RX    00 00 00
   84367.068 RX    1D 81 24 00 11
   84387.422 RX    00 47 07 B1 10
   84397.604 RX    00 00
   84397.647 TX    7D
   84418.009 RX    7D 7D 21
   84428.197 RX    40 0A FF 91
   84448.945 RX    00 35 FF
   84459.579 RX    FF 01 00 89
   84480.594 RX    64 00 04 1E
   84491.110 RX    FF 00 30 80
   84512.367 RX    80 16 00 26 00 26
   84522.702 RX    00 26 00 26 00 00
   84543.259 RX    00
   84543.341 TX    80
   84563.795 RX    80 80
   84574.026 RX    1C 03 84 8A 72
   84594.447 RX    72 FF 22 86
   84604.657 RX    25 00 80 01
   84625.094 RX    00 00 00 1D
   84635.327 RX    81 24 00 19 00
   84655.726 RX    42 07 AB 10 00
   84665.941 RX    00
   84665.990 TX    7D
   84686.330 RX    7D 7D 21 40
   84706.698 RX    0A FF 91 00
   84716.912 RX    34 FF FF 01
   84737.312 RX    00 89 64 00
   84747.496 RX    04 1E FF 00
   84767.857 RX    30 80 80 21 00
   84778.052 RX    26 00 26 00 26 00
   84798.570 RX    26 00 00 00
   84798.623 TX    80
   84819.061 RX    80 80 1C
   84829.393 RX    03 96 8A 72 72
   84849.801 RX    FF 22 86 25
   84860.055 RX    00 80 01 00
   84880.549 RX    00 00 1D 81
   84890.789 RX    24 00 13 00 43
   84911.181 RX    07 AA 10 00 00
   84911.225 TX    7D
   84931.579 RX    7D 7D 21
   84941.850 RX    40 0A FF 91
   84963.347 RX    00 33 FF FF
   84974.019 RX    01 00 89 64
   84995.239 RX    00 04 1E FF
   85005.913 RX    00 30 80 80
   85026.814 RX    0B 00 26 00 26 00
   85037.342 RX    26 00 26 00 00 00
   85037.632 TX    80
   85058.160 RX    80 80 1C
   85068.378 RX    03 72 8B 72 72
   85088.730 RX    FF 21 86 25
   85098.928 RX    00 80 01 00
   85119.334 RX    00 00 1D 81
   85139.739 RX    24 00 0A 00
   85150.016 RX    44 07 AD 10 00
   85170.474 RX    00
   85170.521 TX    7D
   85180.733 RX    7D 7D
   85201.076 RX    21 40 0A FF
   85211.271 RX    91 00 33 FF
   85231.646 RX    FF 01 00 89
   85241.823 RX    64 00 04 1E
   85262.202 RX    FF 00 30
   85282.565 RX    80 80 04 00 26 00
   85292.740 RX    26 00 26 00 26 00 00
   85313.111 RX    00
   85313.156 TX    80
   85323.333 RX    80 80
   85343.712 RX    1C 03 77 8B 72
   85353.892 RX    72 FF 21 86
   85374.438 RX    25 00 80
   85394.888 RX    01 00 00 00
   85405.209 RX    1D 81 24 00 1B
   85425.590 RX    00 42 07 9D 10
   85435.780 RX    00 00
   85435.879 TX    7D
   85456.763 RX    7D 7D 21
   85467.312 RX    40 0A FF 91
   85488.228 RX    00 33 FF FF
   85498.889 RX    01 00 89 64
   85519.670 RX    00 04 1E FF
   85530.023 RX    00 30 80 80 19
   85551.559 RX    00 26 00 26 00 26 00
   85561.808 RX    26 00 00 00
   85561.857 TX    80
   85582.500 RX    80 80 1C 03 8C
   85602.876 RX    8B 72 72 FF
   85613.237 RX    20 86 25 00
   85633.560 RX    80 01 00 00
   85643.743 RX    00 1D 81 24
   85664.229 RX    00 15 00 43 07 AD
   85674.462 RX    10 00 00
   85674.512 TX    7D
   85694.839 RX    7D 7D 21 40
   85715.303 RX    0A FF 91 00
   85725.476 RX    32 FF FF 01
   85745.836 RX    00 89 64 00
   85756.082 RX    04 1E FF 00
   85776.555 RX    30 80 80 1C 00
   85786.741 RX    26 00 26 00 26 00 26 00
   85807.120 RX    00 00
   85807.171 TX    80
   85817.537 RX    80 80 1C
   85837.922 RX    03 81 8B 72 72
   85858.384 RX    FF 21 86 25
   85868.574 RX    00 80 01
   85888.924 RX    00 00 00 1D 81
   85899.223 RX    24 00 2A 00
   85919.551 RX    41 07 AD 10 00 00
   85919.598 TX    7D
   85929.806 RX    7D 7D
   85950.336 RX    21 40 0A FF
   85971.107 RX    91 00 32 FF
   85981.834 RX    FF 01 00 89
   86003.146 RX    64 00 04 1E
   86013.798 RX    FF 00 30 80
   86034.759 RX    80 13 00 26 00
   86045.346 RX    26 00 26 00 26 00 00
   86066.210 RX    00
   86066.286 TX    80
   86076.486 RX    80 80
   86096.877 RX    1C 03 85 8B 72
   86107.098 RX    72 FF 21 86
   86127.485 RX    25 00 80 01
   86137.667 RX    00 00 00 1D
   86158.104 RX    81 24 00 2A 00
   86178.580 RX    3E 07 A5 10 00
   86188.800 RX    00
   86188.855 TX    7D
   86209.164 RX    7D 7D 21
   86219.406 RX    40 0A FF 91
   86239.773 RX    00 31 FF FF
   86249.955 RX    01 00 89 64
   86270.321 RX    00 04 1E FF
   86290.743 RX    00 30 80 80 18
   86300.930 RX    00 26 00 26 00 26 00
   86321.516 RX    26 00 00 00
   86321.580 TX    80
   86331.907 RX    80 80
   86352.365 RX    1C 03 8E 8B 72
   86362.508 RX    72 FF 21 86
   86383.700 RX    25 00 80 01
   86394.091 RX    00 00 00 1D
   86414.628 RX    81 24 00 28 00
   86435.023 RX    3E 07 AD 10 00
   86445.593 RX    00
   86445.736 TX    7D
   86466.696 RX    7D 7D 21
   86476.932 RX    40 0A FF 91
   86497.732 RX    00 31 FF FF
   86508.365 RX    01 00 89 64
   86529.588 RX    00 04 1E
   86540.376 RX    FF 00 30 80
   86561.772 RX    80 12 00 26 00 26 00
   86572.051 RX    26 00 26 00 00 00
   86572.124 TX    80
   86592.575 RX    80 80 1C 03
   86602.769 RX    75 8B 72 72 FF
   86623.247 RX    20 86 25
   86633.517 RX    00 80 01 00
   86653.890 RX    00 00 1D 81
   86674.270 RX    24 00 16 00 43
   86684.487 RX    07 AB 10 00 00
   86684.532 TX    7D
   86704.897 RX    7D 7D 21 40
   86715.092 RX    0A FF 91 00
   86735.484 RX    30 FF FF
   86745.671 RX    01 00 89 64
   86766.141 RX    00 04 1E FF
   86786.591 RX    00 30 80 80 12
   86796.781 RX    00 26 00 26 00 26
   86817.154 RX    00 26 00 00 00
   86817.198 TX    80
   86827.382 RX    80 80
   86847.755 RX    1C 03 87 8B 72 72
   86857.953 RX    FF 22 86
   86878.542 RX    25 00 80 01
   86898.953 RX    00 00 00 1D
   86909.222 RX    81 24 00 0B 00
   86929.795 RX    44 07 A3 10 00
   86939.997 RX    00
   86940.041 TX    7D
   86961.055 RX    7D 7D 21 40
   86971.716 RX    0A FF 91 00
   86992.924 RX    30 FF FF
   87003.495 RX    01 00 89 64
   87024.598 RX    00 04 1E FF
   87034.943 RX    00 30 80 7F FC
   87056.058 RX    00 26 00 26 00 26 00
   87066.698 RX    26 00 00 00
   87066.804 TX    80
   87087.290 RX    80 80 1C 03
   87097.701 RX    74 8B 72 72
   87118.041 RX    FF 21 86 25
   87138.427 RX    00 80 01 00
   87148.615 RX    00 00 1D 81
   87168.972 RX    24 00 0C 00 43
   87179.289 RX    07 AB 10 00 00
   87179.338 TX    7D
   87199.676 RX    7D 7D 21
   87209.846 RX    40 0A FF 91
   87230.214 RX    00 2F FF FF
   87250.552 RX    01 00 89 64
   87260.735 RX    00 04 1E FF
   87281.118 RX    00 30 80 80 0C
   87291.374 RX    00 26 00 26 00 26 00
   87311.727 RX    26 00 00 00
   87311.775 TX    80
   87321.927 RX    80 80 1C
   87342.366 RX    03 77 8B 72
   87362.713 RX    72 FF 21 86
   87372.893 RX    25 00 80 01
   87393.571 RX    00 00 00 1D
   87403.853 RX    81 24 00 21 00
   87424.339 RX    3E 07 A7 10 00
   87434.659 RX    00
   87434.745 TX    7D
   87455.587 RX    7D 7D 21 40
   87466.494 RX    0A FF 91 00
   87487.624 RX    2F FF FF 01
   87498.042 RX    00 89 64 00
   87519.143 RX    04 1E FF 00
   87529.737 RX    30 80 80 1E 00
   87550.505 RX    26 00 26 00 26 00 26 00
   87561.285 RX    00 00
   87561.373 TX    80
   87582.097 RX    80 80 1C 03 68
   87602.478 RX    8B 72 72 FF
   87612.671 RX    22 86 25 00
   87633.102 RX    80 01 00
   87643.303 RX    00 00 1D 81
   87663.827 RX    24 00 02 00 44
   87674.002 RX    07 9F 10 00 00
   87674.048 TX    7D
   87694.502 RX    7D 7D 21 40
   87714.949 RX    0A FF 91 00
   87725.216 RX    2F FF FF 01
   87745.727 RX    00 89 64
   87755.921 RX    00 04 1E FF
   87776.258 RX    00 30 80 7F FD
   87786.442 RX    00 26 00 26 00 26 00
   87806.777 RX    26 00 00 00
   87806.824 TX    80
   87816.988 RX    80 80 1C
   87837.462 RX    03 6F 8B 72 72
   87857.807 RX    FF 22 86 25
   87867.989 RX    00 80 01
   87888.414 RX    00 00 00 1D
   87898.628 RX    81 24 00 13 00
   87919.084 RX    43 07 A4 10 00
   87929.405 RX    00
   87929.455 TX    7D
   87949.914 RX    7D 7D 21 40
   87970.869 RX    0A FF 91 00
   87981.553 RX    2F FF FF 01
   88002.558 RX    00 89 64 00
   88013.211 RX    04 1E FF
   88034.019 RX    00 30 80 80 23
   88044.430 RX    00 26 00 26 00 26 00
   88065.369 RX    26 00 00 00
   88065.466 TX    80
   88075.786 RX    80 80
   88096.255 RX    1C 03 88 8B 72
   88106.648 RX    72 FF 21 86
   88127.092 RX    25 00 80 01
   88137.419 RX    00 00 00 1D
   88157.785 RX    81 24 00 15 00
   88178.164 RX    43 07 A7 10 00
   88188.324 RX    00
   88188.382 TX    7D
   88208.672 RX    7D 7D 21 40
   88218.840 RX    0A FF 91
   88239.282 RX    00 2F FF FF
   88249.523 RX    01 00 89 64
   88269.896 RX    00 04 1E FF
   88290.404 RX    00 30 80 80 1D
   88300.599 RX    00 26 00 26 00 26 00
   88321.062 RX    26 00 00 00
   88321.112 TX    80
   88331.296 RX    80 80
   88351.754 RX    1C 03 7D 8B 72
   88361.970 RX    72 FF 21 86
   88382.299 RX    25 00 80 01
   88402.640 RX    00 00 00 1D
   88412.820 RX    81 24 00 03
   88433.152 RX    00 44 07 A4 10
   88443.440 RX    00 00
   88443.483 TX    7D
   88464.166 RX    7D 7D 21 40
   88474.540 RX    0A FF 91 00
   88495.590 RX    2E FF FF 01
   88506.198 RX    00 89 64
   88526.778 RX    00 04 1E FF
   88537.256 RX    00 30 80 80 10
   88558.830 RX    00 26 00 26 00 26 00
   88569.173 RX    26 00 00 00
   88569.295 TX    80
   88590.350 RX    80 80 1C 03
   88610.769 RX    7D 8B 72 72
   88620.970 RX    FF 22 86 25
   88641.361 RX    00 80 01 00
   88651.913 RX    00 00 1D 81
   88672.331 RX    24 00 11 00 43
   88682.627 RX    07 AD 10 00 00
   88682.683 TX    7D
   88703.035 RX    7D 7D 21 40
   88713.243 RX    0A FF 91
   88733.722 RX    00 2E FF FF
   88754.090 RX    01 00 89 64
   88764.296 RX    00 04 1E FF
   88784.628 RX    00 30 80 80 1A
   88794.806 RX    00 26 00 26 00 26 00
   88815.194 RX    26 00 00 00
   88815.260 TX    80
   88825.580 RX    80 80 1C
   88845.950 RX    03 86 8B 72 72
   88866.315 RX    FF 21 86 25
   88876.495 RX    00 80 01
   88896.855 RX    00 00 00 1D
   88907.180 RX    81 24 00 16 00
   88927.541 RX    43 07 B0 10 00
   88937.717 RX    00
   88937.768 TX    7D
   88958.233 RX    7D 7D 21 40
   88979.115 RX    0A FF 91 00
   88989.783 RX    2D FF FF 01
   89010.953 RX    00 89 64
   89021.464 RX    00 04 1E FF
   89042.448 RX    00 30 80 80 0A
   89053.018 RX    00 26 00 26 00 26 00
   89073.915 RX    26 00 00 00
   89074.013 TX    80
   89084.851 RX    80 80
   89105.575 RX    1C 03 75 8B 72
   89115.789 RX    72 FF 21
   89136.254 RX    86 25 00 80
   89146.453 RX    01 00 00 00
   89166.804 RX    1D 81 24 00 18
   89177.008 RX    00 42 07 9F 10
   89197.481 RX    00 00
   89197.538 TX    7D
   89217.836 RX    7D 7D 21
