
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
    7358.232 RX    29 FF 00 30 80
    7378.538 RX    7C 95 00 26 00 26 00
    7398.875 RX    26 00 26 00 00 00
    7398.918 TX    80
    7409.057 RX    80 80
    7429.387 RX    1C 00 00 86 72 72
    7439.543 RX    FF 65 78 25 00
    7459.845 RX    80 01 00 00
    7470.011 RX    00 1D 81 4F 03 6B
    7490.366 RX    00 30 0C B2 00 00
    7510.712 RX    00
    7510.754 TX    7D
    7520.945 RX    7D 7D
    7541.304 RX    21 40 0A FF 91
    7551.522 RX    00 58 FF FF
    7571.852 RX    01 00 89 64 00
    7582.019 RX    00 29 FF 00 30
    7602.362 RX    80 7C 95 00 26 00 26
    7622.682 RX    00 26 00 26 00 00 00
    7622.726 TX    80
    7632.880 RX    80 80 1C
    7653.236 RX    00 00 86 72 72
    7663.428 RX    FF 65 78 25 00
    7683.804 RX    80 01 00 00 00
    7693.985 RX    1D 81 4F 03 6B 00
    7714.410 RX    30 0C B2 00 00 00
    7714.453 TX    7D
    7735.000 RX    7D 7D 21
    7745.191 RX    40 0A FF 91 00
    7765.541 RX    58 FF FF 01 00
    7775.701 RX    89 64 00 00 29
    7796.029 RX    FF 00 30 80 7C
    7806.211 RX    95 00 26 00 26 00 26 00
    7826.560 RX    26 00 00 00
    7826.629 TX    80
    7847.180 RX    80 80 1C
    7857.460 RX    00 00 86 72 72 FF
    7877.818 RX    65 78 25 00 80
    7888.023 RX    01 00 00 00
    7908.357 RX    1D 81 4F 03 6B 00
    7918.526 RX    30 0C B2 00 00 00
    7918.582 TX    7D
    7938.976 RX    7D 7D 21 40 0A
    7959.375 RX    FF 91 00 58 FF
    7969.681 RX    FF 01 00 89
    7990.052 RX    64 00 00 29 FF
    8000.283 RX    00 30 80 7C 95 00
    8020.663 RX    26 00 26 00 26 00 26 00 00
    8030.874 RX    00
    8030.928 TX    80
    8051.310 RX    80 80 1C 00 00 86
    8061.535 RX    72 72 FF 65
    8081.941 RX    78 25 00 80 01
    8102.404 RX    00 00 00 1D 81
    8112.649 RX    4F 03 6B 00 30 0C
    8133.089 RX    B2 00 00 00
    8133.137 TX    7D
    8143.329 RX    7D 7D
    8163.814 RX    21 40 0A FF 91
    8174.069 RX    00 58 FF FF 01
    8194.620 RX    00 89 64 00 00
    8215.122 RX    29 FF 00 30 80
    8225.404 RX    7C 95 00 26 00 26 00 26
    8245.820 RX    00 26 00 00 00
    8245.871 TX    80
    8256.155 RX    80 80
    8276.602 RX    1C 00 00 86 72 72
    8286.818 RX    FF 65 78 25 00
    8307.202 RX    80 01 00 00 00
    8317.460 RX    1D 81 4F 03 6B
    8337.897 RX    00 30 0C B2 00 00
    8358.378 RX    00
    8358.426 TX    7D
    8368.621 RX    7D 7D
    8389.064 RX    21 40 0A FF 91
    8399.288 RX    00 58 FF FF 01
    8419.690 RX    00 89 64 00
    8429.894 RX    00 29 FF 00 30
    8450.378 RX    80 7C 95 00 26 00 26 00
    8470.806 RX    26 00 26 00 00 00
    8470.883 TX    80
    8481.156 RX    80 80
    8501.561 RX    1C 00 00 86 72 72
    8511.741 RX    FF 65 78 25
    8532.136 RX    00 80 01 00 00
    8542.312 RX    00 1D 81 4F 03 6B
    8562.681 RX    00 30 0C B2 00 00
    8583.013 RX    00
    8583.063 TX    7D
    8593.224 RX    7D 7D
    8613.506 RX    21 40 0A FF 91
    8623.680 RX    00 58 FF FF 01
    8643.974 RX    00 89 64 00 00
    8654.141 RX    29 FF 00 30 80
    8674.451 RX    7C 95 00 26 00 26 00
    8694.788 RX    26 00 26 00 00 00
    8694.865 TX    80
    8705.001 RX    80 80
    8725.374 RX    1C 00 00 86 72 72
    8735.585 RX    FF 65 78 25 00
    8755.947 RX    80 01 00 00 00
    8766.129 RX    1D 81 4F 03 6B
    8786.417 RX    00 30 0C B2 00 00
    8806.723 RX    00
    8806.773 TX    7D
    8816.897 RX    7D 7D
    8837.172 RX    21 40 0A FF 91
    8847.290 RX    00 58 FF FF 01
    8867.782 RX    00 89 64 00
    8877.912 RX    00 29 FF 00 30
    8898.168 RX    80 7C 95 00 26 00 26 00
    8918.401 RX    26 00 26 00 00 00
    8918.430 TX    80
    8928.554 RX    80 80
    8948.798 RX    1C 00 00 86 72 72
    8958.922 RX    FF 65 78 25
    8979.161 RX    00 80 01 00 00
    8989.281 RX    00 1D 81 4F 03 6B
    9009.517 RX    00 30 0C B2 00 00
    9029.754 RX    00
    9029.782 TX    7D
    9039.912 RX    7D 7D 21
    9060.171 RX    40 0A FF 91
    9070.371 RX    00 58 FF FF 01
    9090.637 RX    00 89 64 00 00
    9110.882 RX    29 FF 00 30 80
    9121.009 RX    7C 95 00 26 00 26 00 26
    9141.268 RX    00 26 00 00 00
    9141.325 TX    80
    9151.659 RX    80 80
    9172.114 RX    1C 00 00 86 72 72
    9182.248 RX    FF 65 78 25 00
    9202.561 RX    80 01 00 00 00
    9222.810 RX    1D 81 4F 03 6B
    9232.933 RX    00 30 0C B2 00 00
    9253.176 RX    00
    9253.208 TX    7D
    9263.282 RX    7D 7D
    9283.525 RX    21 40 0A FF 91
    9293.647 RX    00 58 FF FF 01
    9313.889 RX    00 89 64 00 00
    9334.132 RX    29 FF 00 30
    9344.255 RX    80 7C 95 00 26 00 26 00
    9364.498 RX    26 00 26 00 00 00
    9364.523 TX    80
    9374.645 RX    80 80 1C
    9395.133 RX    00 00 86 72 72 FF
    9405.335 RX    65 78 25 00
    9425.701 RX    80 01 00 00 00
    9446.020 RX    1D 81 4F 03 6B 00
    9456.197 RX    30 0C B2 00 00 00
